,Timestamp,Device ID,Device Cost,Device Name,Cost Center,Employee ID,Action
0,2024-06-04 10:45:14,8MRH4WMTTH,$1299.00,HP - Omen 15,Operations,E1KDAX8D0YE7T2M,Renew
1,2023-03-30 01:43:41,V1HNICR17N,"$1,399.99 ",Dell - XPS 14,Legal,IDE8LUODYDRM6GV,Renew
2,2023-08-09 12:28:18,UXELO1J0QT,"$1,799.99 ",Dell - XPS 17 9720,HR,JDKYYAPTDOARA7N,New
3,2023-02-05 11:14:27,162PHXF1E8,"$1,599.99 ",Microsoft - Surface Laptop Studio,Finance,UN3ZZD7ZDYLVRDN,Renew
4,2023-10-07 02:41:27,L1SYO49JWE,$999.99 ,Dell - XPS 13 9300,R&D,VI86KIQE4TUKQLO,New
5,2024-04-08 15:35:10,77J3BD5AN5,$1149.00,HP - Spectre x360 14,HR,I2Q09L732V2VBCP,Renew
6,2024-06-04 20:06:43,JRFV1FD5OY,"$2,199.00 ","Mac - M3 Pro MacBook Pro 14""",IT,TPL2GPAXOERJI90,Return
7,2024-03-25 23:35:36,J4XEFHF86Z,"$2,199.00 ","Mac - M3 Pro MacBook Pro 14""",R&D,XXXYP8IIEK5IC5V,Renew
8,2023-05-07 18:37:44,WHB3SJEZNR,$999.99 ,Microsoft - Surface Laptop 3,R&D,YRW5P5BI7G29FPZ,Return
9,2024-05-18 06:32:17,U7N9WZCNOP,"$1,799.99 ",Dell - XPS 17 9720,Customer Service,GL5N28LGWP4O9G0,New
10,2024-02-19 09:49:39,MDS9U55N5R,"$1,299.99 ",Dell - XPS 15 9500,Legal,SJ3LNRS9E60ZM8Y,Return
11,2024-02-03 02:12:59,OLHNCI2SPH,"$1,099.99 ",Dell - XPS 13 9315,R&D,6Q5EHMNDZ5RO50U,Return
12,2023-07-18 11:18:08,070TXSOTPX,"$1,099.99 ",Microsoft - Surface Pro 8,IT,MHQG6R6R1UNE3Y9,Return
13,2023-12-27 21:22:33,QPDQM5AMRP,"$1,699.99 ",Dell - XPS 17 9710,Operations,8DBKO6ITF3BZ87G,Return
14,2023-06-09 06:05:21,0UI7WLR1EV,"$1,099.99 ",Microsoft - Surface Pro 8,Customer Service,02AK90C8QON1Q44,New
15,2023-03-05 22:28:46,X9JB6Y7NDS,"$1,299.99 ",Microsoft - Surface Laptop 4,Sales,G177A2LYG7QRJ8K,Return
16,2023-01-26 12:10:42,6NW3B0W52S,$799.00,HP - Envy x360 15,Product Development,PB7TXGT2N7KKQNW,Return
17,2023-08-19 06:45:38,RYZA7982S5,"$2,099.99 ",Dell - Alienware m15 R6,Customer Service,MS6UNYQDYUVSXW6,Return
18,2024-02-28 00:17:11,O2OQETT9NY,"$1,099.99 ",Dell - XPS 13 9315,Legal,MG1TE79EI200MP4,Return
19,2023-12-26 02:39:13,T9F3LMZTVJ,"$1,599.99 ",Dell - XPS 15 9520,Customer Service,PXEQ20TSAD2FAYD,Return
20,2023-10-11 11:33:20,EK0QYQJDYR,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Customer Service,714BWWUTWPD5CQX,Renew
21,2024-06-19 23:50:53,KTZL8Q3581,"$2,499.00 ","Mac - M3 Pro MacBook Pro 16""",Customer Service,G3DHEG849ALO4TH,Renew
22,2023-07-29 16:35:43,DDLADS8H95,"$1,299.00 ","Mac - M2 MacBook Air 15""",Sales,4Q4KZVPPKNYT8ZY,Return
23,2023-09-23 01:25:33,CN74TTMJMK,"$1,199.00 ",Mac - M2 MacBook Air,R&D,UJ699NWD0V0QDKZ,Renew
24,2024-02-29 06:31:08,CSP4OWG8GN,"$1,199.00 ",Mac - M2 MacBook Air,Finance,BUKTCHETU8FKF03,Return
25,2023-08-23 00:39:11,A0QCKVY9CH,$999.00 ,Mac - M1 MacBook Air,Operations,XPW227W7MN7AFPI,New
26,2023-10-23 15:29:12,10DI1G1CP3,"$1,599.99 ",Microsoft - Surface Laptop Studio,HR,06IMY6DVV08ETYL,Return
27,2023-05-01 16:19:24,QE2CMQJWZD,"$1,699.99 ",Dell - XPS 17 9710,Marketing,014M1J5LEVQKKRQ,New
28,2023-05-23 20:39:29,WGCCLDS9A3,$999.99 ,Microsoft - Surface Laptop 3,Operations,CN9FYHGDHXULQD9,Return
29,2023-10-01 17:23:17,4TV9F7Q0HP,"$1,199.99 ",Microsoft - Surface Pro 9,Finance,2R5DQ6QDW6SQ5EI,Return
30,2023-05-04 12:41:54,RTCFKBIK0C,"$2,099.99 ",Dell - Alienware m15 R6,Customer Service,VP2YBH0AC14Y7KL,Renew
31,2023-02-13 05:21:41,6R6K17Q5K3,$799.00,HP - Envy x360 15,HR,U9IME5MIO4P4S3T,New
32,2023-02-28 02:02:24,GBYYYC38JT,"$1,099.00 ","Mac - M3 MacBook Air 13""",HR,FUC08M9FRT88OHO,Renew
33,2024-05-28 22:57:12,6W098MBJLR,$799.00,HP - Envy x360 15,HR,GKBM7W27UDNXUJJ,Renew
34,2024-06-09 02:17:00,UBQ3ONHL0U,"$1,799.99 ",Dell - XPS 17 9720,Finance,KDMUMKEOSTMKDTB,Renew
35,2023-09-26 08:19:11,KJPJVX1GMO,"$2,499.00 ","Mac - M3 Pro MacBook Pro 16""",Sales,SB6G4V02Q4IDUR2,Renew
36,2024-03-04 06:37:34,T373QRKW7I,"$1,599.99 ",Dell - XPS 15 9520,Legal,06LEG0MHEM8ECZE,Renew
37,2023-04-13 22:50:39,C5Q96I8N09,"$1,199.00 ",Mac - M2 MacBook Air,Finance,WJCH4SIBX9E3C8P,New
38,2023-08-27 07:26:51,UYHV8MYQ36,"$1,799.99 ",Dell - XPS 17 9720,Operations,0VDM273UVK07E5Z,Renew
39,2023-07-29 06:48:38,VZPS2LV38V,"$1,399.99 ",Dell - XPS 14,Customer Service,3MU7NNCYXFWMORJ,Return
40,2023-04-27 07:16:46,ED79EK3ATS,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Legal,WVF29Z7IQCAXBPQ,New
41,2023-05-28 22:41:51,S1YJ58K1SF,"$1,199.99 ",Dell - XPS 13 9320,Customer Service,1A2I92ML9356PSR,Return
42,2023-04-16 10:39:05,VY2FYE9NW7,"$1,399.99 ",Dell - XPS 14,Customer Service,FUH31684T1T6JD0,New
43,2023-11-09 03:44:19,A390XT4CD5,$999.00 ,Mac - M1 MacBook Air,R&D,WPLLRIF2IXAVPL0,Renew
44,2024-01-20 22:02:49,W4SF5Q4YPU,$999.99 ,Microsoft - Surface Laptop 3,Product Development,WBO7APZNO1H1T34,Renew
45,2023-11-01 14:40:40,GLEVTTG7E2,"$1,099.00 ","Mac - M3 MacBook Air 13""",Customer Service,H48E8P7KJ7EAM3O,New
46,2023-09-12 21:27:39,4U16VY9CRH,"$1,199.99 ",Microsoft - Surface Pro 9,Customer Service,WWMXR5H8BYI88A4,Renew
47,2023-10-24 01:44:23,501A76XCCX,"$1,399.99 ",Microsoft - Surface Laptop 7,Operations,7NU0VKZ2XS04CPO,New
48,2023-02-16 05:49:24,CH2NTO7765,"$1,199.00 ",Mac - M2 MacBook Air,Finance,WMWP5QAF8GMFC3Q,Renew
49,2023-10-01 21:37:11,D1Q8J8G9J7,"$1,299.00 ","Mac - M2 MacBook Air 15""",Marketing,BXLDNEQ1ZOE045W,New
50,2024-03-11 13:31:33,3MN2SF2CVH,"$1,299.99 ",Microsoft - Surface Laptop 6,R&D,0QEITJCSYJZ9YAA,Return
51,2023-11-23 07:38:09,ARFBHRA73U,$999.00 ,Mac - M1 MacBook Air,Finance,GEYO674AGKYP2XQ,Return
52,2024-02-03 11:01:04,NDY930GP7R,"$1,399.99 ",Dell - XPS 17 9700,Sales,X1VTWYC71AUSDFO,Return
53,2023-07-07 06:52:06,1L4246WHDR,"$1,599.99 ",Microsoft - Surface Laptop Studio,Operations,RRS939XV5C7PZ9N,Return
54,2023-10-31 10:27:56,LVZ6O79L31,$999.99 ,Dell - XPS 13 9300,Operations,V9N4LF1U585IND2,New
55,2023-09-14 08:12:28,INA0SBMJJM,"$1,999.00 ","Mac - M3 MacBook Pro 14""",Finance,OIO5MZYZCT33POE,Return
56,2023-11-12 19:51:48,RPZGIYL0KV,"$2,099.99 ",Dell - Alienware m15 R6,Sales,WZNM3LIW3LRYC23,Renew
57,2023-06-01 07:54:21,S145LI3JIQ,"$1,199.99 ",Dell - XPS 13 9320,Marketing,2D8IGW6B56YTGYV,Return
58,2024-05-09 08:34:58,UXW8IQ30TN,"$1,799.99 ",Dell - XPS 17 9720,HR,GEQ3WD6C99EXEQ3,Renew
59,2023-05-26 00:24:50,YUYMSRTQX2,$899.99 ,Microsoft - Surface Pro 7+,R&D,ZH21S7J4YQWKPVP,New
60,2023-02-02 03:52:50,06BB5RG2O2,"$1,099.99 ",Microsoft - Surface Pro 8,Product Development,7DRY9ZJ5NOVI39K,Return
61,2023-06-17 05:37:36,CUSHMLF0TJ,"$1,199.00 ",Mac - M2 MacBook Air,Customer Service,BMBIUKRX9S2D2AI,Return
62,2023-11-13 05:25:28,3QJCDGEIUE,"$1,299.99 ",Microsoft - Surface Laptop 6,Operations,TPESJD3CHZPI40O,Renew
63,2023-04-07 04:39:16,KER182ER88,"$2,499.00 ","Mac - M3 Pro MacBook Pro 16""",Product Development,O0ASSO0NUBTMPJP,Renew
64,2023-08-30 20:45:20,05UKEP00HF,"$1,099.99 ",Microsoft - Surface Pro 8,HR,C3752XXKEWIOHPA,New
65,2023-07-01 09:49:14,BE7AIP005F,"$2,399.00 ","Mac - M1 MacBook Pro 16""",Product Development,8PODBU6FUXC7CBX,Renew
66,2023-05-24 17:13:06,FRLWO4D98W,"$2,499.00 ","Mac - M2 MacBook Pro 16""",Sales,JZ7JQYNAP62TZS2,Renew
67,2024-05-02 03:01:52,10A23VNTMG,"$1,599.99 ",Microsoft - Surface Laptop Studio,HR,N8GMH3ZN9CNSASY,Renew
68,2024-04-18 05:11:28,5VD6GJTAAK,"$1,399.99 ",Microsoft - Surface Laptop 7,Operations,2T47I5XC8RIASTS,Renew
69,2023-10-17 01:13:44,91G92CK1LQ,$1299.00,HP - Spectre x360 14,Sales,PFZYX8WN20H29AV,Renew
70,2024-03-10 14:27:14,1Z8XDDMJ0V,"$1,599.99 ",Microsoft - Surface Laptop Studio,IT,H3U8A2HN7I9DOKP,Renew
71,2023-08-17 08:52:27,PK9DAO6AAP,"$1,499.99 ",Dell - XPS 15 9510,Sales,QLUIOMYSMFGXX43,New
72,2023-01-10 15:46:23,LCJ76PHE6A,$999.99 ,Dell - XPS 13 9300,Finance,74KXTWQKVWC8IOL,New
73,2023-06-09 22:02:28,FF709Q58SD,"$2,499.00 ","Mac - M2 MacBook Pro 16""",Operations,HKWVB5TMZD29HLP,Renew
74,2024-05-20 03:05:10,5KP1Y0V8GO,"$1,399.99 ",Microsoft - Surface Laptop 7,IT,UUUALIK8751NS3U,New
75,2023-07-21 16:18:21,IZBZBDFAFE,"$1,999.00 ","Mac - M3 MacBook Pro 14""",Legal,PUVRDFQ1R3PIX9Q,Return
76,2023-06-04 06:48:53,8P5T3EDRJS,$1299.00,HP - Omen 15,Operations,WCMTEPMVQD92LRG,Return
77,2023-10-23 01:16:22,3WFFS49SUJ,"$1,299.99 ",Microsoft - Surface Laptop 6,Customer Service,VVTZ52POWNSL7LD,Return
78,2023-06-06 14:38:41,XWQEZXBX9B,"$1,299.99 ",Microsoft - Surface Laptop 4,Legal,NPSHQTIP30X0KIO,Return
79,2024-01-01 13:48:35,BETDX0U2CC,"$2,399.00 ","Mac - M1 MacBook Pro 16""",HR,5SWJ7PKZLA1GY0B,New
80,2023-05-09 15:22:57,L0M38N043Y,$999.99 ,Dell - XPS 13 9300,IT,95BAEK4706OU1C4,Return
81,2024-03-28 23:40:10,6QDSEJA8S8,$799.00,HP - Envy x360 15,R&D,NE43RV992P2NLJ1,New
82,2024-04-06 23:06:25,DIQGINTP21,"$1,299.00 ","Mac - M2 MacBook Air 15""",Product Development,QIMJDA0AGGSSH6N,New
83,2023-11-29 10:01:39,N18GB6D0F3,"$1,399.99 ",Dell - XPS 17 9700,R&D,WE974V9CITOAOP5,Renew
84,2023-03-11 09:17:45,YKF0SP8L2E,$899.99 ,Microsoft - Surface Pro 7+,Operations,UX3W4BUSS8H7CHJ,Renew
85,2024-03-13 00:01:26,OMDK0TGHBG,"$1,099.99 ",Dell - XPS 13 9315,Finance,UK4F6PR690TBRUI,Return
86,2023-03-31 07:09:17,YMOW86OOZH,$899.99 ,Microsoft - Surface Pro 7+,Finance,K03CIL12ACPNZJY,New
87,2023-10-29 19:44:16,QDOL6JMS3Q,"$1,699.99 ",Dell - XPS 17 9710,Legal,L9S0S2FP8JXDZGP,Return
88,2023-11-05 03:35:07,2G969NK8TZ,$749.99 ,Microsoft - Surface Laptop Go 3,HR,5R6IJHIYWD4SR7C,Renew
89,2023-05-22 06:46:38,RD7PD5X4RW,"$2,099.99 ",Dell - Alienware m15 R6,Customer Service,MDIWNBOVVBT1IQ9,Renew
90,2024-05-21 16:24:42,5DEV3HYNM6,"$1,399.99 ",Microsoft - Surface Laptop 7,Operations,RHA6IRLS3PSW5JD,New
91,2023-03-21 12:40:59,RVH2XYXH0P,"$2,099.99 ",Dell - Alienware m15 R6,Operations,4WKV0BPBRQ75RZ9,Return
92,2024-02-05 15:49:07,EQ0DUSI6SU,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Product Development,4QZLS03FHVXN4F8,Renew
93,2024-01-18 09:30:06,P2HTQ1CDDA,"$1,499.99 ",Dell - XPS 15 9510,IT,179YC7B1MWE7IHV,New
94,2023-03-03 03:58:01,06AFKUU1S1,"$1,099.99 ",Microsoft - Surface Pro 8,HR,873GNZDM56FCVBG,Return
95,2023-01-18 12:02:35,NYHZHYWHYD,"$1,399.99 ",Dell - XPS 17 9700,Marketing,WJ4CG7HBVL7TUYI,Return
96,2024-06-19 14:17:05,OATUIY38ON,"$1,099.99 ",Dell - XPS 13 9315,Operations,7Q0LXOOMH233MA0,Renew
97,2023-08-04 20:06:44,GEGXQAUGTL,"$1,099.00 ","Mac - M3 MacBook Air 13""",IT,6EZ70SJDTXV2X30,Renew
98,2023-02-28 18:46:17,EPYE7SG50K,"$1,999.00 ","Mac - M2 MacBook Pro 14""",Product Development,O5N7FOMQYT1ZEXM,New
99,2023-02-25 07:59:30,DZLF0PQO5U,"$1,299.00 ","Mac - M2 MacBook Air 15""",Product Development,RO5I6AASP3LDBEE,Renew
